Dataset,Estado,Arista,Deg_Val,Deg_Top1,Bet_Val,Bet_Top1,Clo_Val,Clo_Top1,PR_Val,PR_Top1,ASP_Val,Dia_Val,Eig_Val,Eig_Top1
datasets/2000.net,Original,Ninguna,0.940625,GBR,0.309473,USA,85346.1,USA,0.00559713,GBR,1.59543e-05,0.000642041,0.703349,USA
datasets/2000.net,Aumento_Hub_Hub,USA+DEU,0.940625,GBR,0.309473,USA,85346.1,USA,0.00559713,GBR,1.59543e-05,0.000642041,0.703349,USA
datasets/2000.net,Aumento_Hub_Peri,USA+DEU,0.940625,GBR,0.309473,USA,85304,USA,0.00559713,GBR,1.59567e-05,0.000642041,0.688606,USA
datasets/2000.net,Aumento_Peri_Peri,PLW+KIR,0.940625,GBR,0.309473,USA,85304,USA,0.0055973,GBR,1.59771e-05,0.000642041,0.688606,USA
datasets/2005.net,Original,Ninguna,0.9375,DEU,0.290566,USA,88942.1,USA,0.00520198,DEU,1.5391e-05,0.000962565,0.691095,USA
datasets/2005.net,Aumento_Hub_Hub,USA+DEU,0.9375,DEU,0.290566,USA,88942.1,USA,0.00520198,DEU,1.5391e-05,0.000962565,0.691095,USA
datasets/2005.net,Aumento_Hub_Peri,USA+DEU,0.9375,DEU,0.270833,USA,88908.3,USA,0.00520198,DEU,1.53924e-05,0.000962565,0.66801,USA
datasets/2005.net,Aumento_Peri_Peri,PLW+GNQ,0.934375,JPN,0.270833,USA,88908.3,USA,0.00520195,ITA,1.54055e-05,0.000962565,0.668009,USA
datasets/2010.net,Original,Ninguna,0.946875,USA,0.227781,CHN,110664,USA,0.00503967,USA,1.1081e-05,0.000318443,0.635302,USA
datasets/2010.net,Aumento_Hub_Hub,CHN+BMU,0.946875,USA,0.227781,CHN,110664,USA,0.00503959,USA,1.1081e-05,0.000318443,0.635302,USA
datasets/2010.net,Aumento_Hub_Peri,CHN+BMU,0.946875,USA,0.227781,CHN,110664,USA,0.00503959,USA,1.1081e-05,0.000318443,0.635302,USA
datasets/2010.net,Aumento_Peri_Peri,GNB+GNQ,0.946875,USA,0.227781,CHN,110664,USA,0.00503967,USA,1.10906e-05,0.000318443,0.635302,USA
datasets/2015.net,Original,Ninguna,0.915625,NLD,0.2784,CHN,159753,USA,0.00392154,VNM,7.61819e-06,0.000335857,0.687036,USA
datasets/2015.net,Aumento_Hub_Hub,CHN+USA,0.915625,NLD,0.2784,CHN,159753,USA,0.00392154,VNM,7.61819e-06,0.000335857,0.687036,USA
datasets/2015.net,Aumento_Hub_Peri,CHN+USA,0.915625,NLD,0.269173,CHN,159753,USA,0.00392154,VNM,7.62008e-06,0.000335871,0.700906,USA
datasets/2015.net,Aumento_Peri_Peri,TON+GNB,0.915625,NLD,0.269173,CHN,159753,USA,0.00392162,VNM,7.62914e-06,0.000335871,0.700906,USA
datasets/2018.net,Original,Ninguna,0.859375,FRA,0.246226,CHN,487556,CHN,0.00264353,BGD,6.45411e-06,0.000206043,0.60497,CHN
datasets/2018.net,Aumento_Hub_Hub,CHN+DEU,0.859375,FRA,0.246226,CHN,487556,CHN,0.00264353,BGD,6.45411e-06,0.000206043,0.60497,CHN
datasets/2018.net,Aumento_Hub_Peri,CHN+DEU,0.859375,FRA,0.243082,CHN,487181,CHN,0.00264353,BGD,6.45459e-06,0.000206043,0.587434,CHN
datasets/2018.net,Aumento_Peri_Peri,KIR+TON,0.859375,GBR,0.243082,CHN,487181,CHN,0.00323213,TON,6.46395e-06,0.000206043,0.587433,CHN
