Dataset,Estado,Arista,Deg_Val,Deg_Top1,Bet_Val,Bet_Top1,Clo_Val,Clo_Top1,PR_Val,PR_Top1,ASP_Val,Dia_Val,Eig_Val,Eig_Top1
datasets/2000.net,Original,Ninguna,0.940625,GBR,0.309473,USA,85346.1,USA,0.00559713,GBR,1.59543e-05,0.000642041,0.703349,USA
datasets/2000.net,Perturbado_Hub,USA-AGO,0.940625,GBR,0.309237,USA,85333,USA,0.00559825,GBR,1.5956e-05,0.000642041,0.703349,USA
datasets/2000.net,Perturbado_Periferia,TON-AUS,0.940625,USA,0.309473,USA,85346.1,USA,0.00559894,GBR,1.59543e-05,0.000642041,0.703349,USA
datasets/2000.net,Perturbado_Medio,LUX-ALB,0.940625,GBR,0.309473,USA,85346.1,USA,0.00559721,GBR,1.59543e-05,0.000642041,0.703349,USA
datasets/2005.net,Original,Ninguna,0.9375,DEU,0.290566,USA,88942.1,USA,0.00520198,DEU,1.5391e-05,0.000962565,0.691095,USA
datasets/2005.net,Perturbado_Hub,USA-AGO,0.9375,DEU,0.288679,USA,88940,USA,0.00520293,DEU,1.53912e-05,0.000962565,0.691095,USA
datasets/2005.net,Perturbado_Periferia,TON-AUS,0.9375,DEU,0.290566,USA,88942.1,USA,0.00520365,DEU,1.5391e-05,0.000962565,0.691095,USA
datasets/2005.net,Perturbado_Medio,MAR-AGO,0.9375,DEU,0.290566,USA,88942.1,USA,0.00520298,DEU,1.5391e-05,0.000962565,0.691095,USA
datasets/2010.net,Original,Ninguna,0.946875,USA,0.227781,CHN,110664,USA,0.00503967,USA,1.1081e-05,0.000318443,0.635302,USA
datasets/2010.net,Perturbado_Hub,CHN-AGO,0.946875,USA,0.227614,USA,110658,USA,0.00503977,USA,1.10816e-05,0.000318443,0.635323,USA
datasets/2010.net,Perturbado_Periferia,PLW-ARE,0.946875,USA,0.227781,CHN,110664,USA,0.00504108,USA,1.1081e-05,0.000318443,0.635302,USA
datasets/2010.net,Perturbado_Medio,LKA-ALB,0.946875,USA,0.227781,CHN,110664,USA,0.00503986,USA,1.1081e-05,0.000318443,0.635302,USA
datasets/2015.net,Original,Ninguna,0.915625,NLD,0.2784,CHN,159753,USA,0.00392154,VNM,7.61819e-06,0.000335857,0.687036,USA
datasets/2015.net,Perturbado_Hub,CHN-AGO,0.915625,NLD,0.276956,CHN,159710,USA,0.00392161,VNM,7.61989e-06,0.000335857,0.687052,USA
datasets/2015.net,Perturbado_Periferia,KIR-ARE,0.915625,NLD,0.2784,CHN,159753,USA,0.00392228,VNM,7.61819e-06,0.000335857,0.687036,USA
datasets/2015.net,Perturbado_Medio,LKA-AGO,0.915625,NLD,0.2784,CHN,159753,USA,0.00392165,VNM,7.61819e-06,0.000335857,0.687036,USA
datasets/2018.net,Original,Ninguna,0.859375,FRA,0.246226,CHN,487556,CHN,0.00264353,BGD,6.45411e-06,0.000206043,0.60497,CHN
datasets/2018.net,Perturbado_Hub,CHN-AGO,0.859375,FRA,0.244693,CHN,487343,CHN,0.00264356,BGD,6.45493e-06,0.000206043,0.604937,CHN
datasets/2018.net,Perturbado_Periferia,PLW-AUS,0.859375,FRA,0.246226,CHN,487556,CHN,0.00264367,BGD,6.45411e-06,0.000206043,0.60497,CHN
datasets/2018.net,Perturbado_Medio,LVA-AGO,0.859375,FRA,0.246226,CHN,487556,CHN,0.00264357,BGD,6.45411e-06,0.000206043,0.60497,CHN
