Dataset,Estado,Arista,Deg_Val,Bet_Val,Clo_Val,PR_Val,ASP_Val,Dia_Val,Eig_Val
datasets/2000.net,Original,Ninguna,0.940625,0.118003,85346.1,0.00559713,13.5845,558.699,0.703349
datasets/2000.net,Aumento_Hub_Hub,COM+BFA,0.940625,0.118003,85346.1,0.00559629,13.5845,558.699,0.703349
datasets/2000.net,Aumento_Hub_Peri,COM+PLW,0.940625,0.118003,85346.1,0.00559467,13.5845,558.699,0.703349
datasets/2000.net,Aumento_Peri_Peri,PLW+KIR,0.940625,0.118003,85346.1,0.00559713,13.6759,2090.37,0.703349
datasets/2005.net,Original,Ninguna,0.9375,0.0947032,88942.1,0.00520198,10.9878,533.426,0.691095
datasets/2005.net,Aumento_Hub_Hub,NIC+ATG,0.9375,0.0947032,88942.1,0.00520189,10.9878,533.426,0.691095
datasets/2005.net,Aumento_Hub_Peri,NIC+PLW,0.9375,0.0947032,88942.1,0.00520099,10.9878,533.426,0.691095
datasets/2005.net,Aumento_Peri_Peri,PLW+GNQ,0.9375,0.0947032,88942.1,0.00520198,11.13,3219.73,0.691095
datasets/2010.net,Original,Ninguna,0.946875,0.104127,110664,0.00503967,60.9468,4398.38,0.635302
datasets/2010.net,Aumento_Hub_Hub,BRN+PLW,0.946875,0.104127,110664,0.0050398,60.9468,4398.38,0.635302
datasets/2010.net,Aumento_Hub_Peri,BRN+GNQ,0.946875,0.104127,110664,0.00503863,60.9468,4398.38,0.635302
datasets/2010.net,Aumento_Peri_Peri,GNB+GNQ,0.946875,0.104127,110664,0.00503967,61.1322,4398.38,0.635302
datasets/2015.net,Original,Ninguna,0.915625,0.116922,159753,0.00392154,95.7051,8900.98,0.687036
datasets/2015.net,Aumento_Hub_Hub,BWA+PLW,0.915625,0.116922,159753,0.00392152,95.7051,8900.98,0.687036
datasets/2015.net,Aumento_Hub_Peri,BWA+TON,0.915625,0.116922,175150,0.003921,95.7051,8900.98,0.687036
datasets/2015.net,Aumento_Peri_Peri,TON+GNB,0.915625,0.116922,159753,0.00392154,95.9315,8900.98,0.687036
datasets/2018.net,Original,Ninguna,0.859375,0.153616,487556,0.00264353,339.422,13877.7,0.60497
datasets/2018.net,Aumento_Hub_Hub,PLW+BRB,0.859375,0.153616,487556,0.00264343,339.422,13877.7,0.60497
datasets/2018.net,Aumento_Hub_Peri,PLW+KIR,0.859375,0.153616,487556,0.00264317,339.422,13877.7,0.60497
datasets/2018.net,Aumento_Peri_Peri,KIR+TON,0.859375,0.153616,487556,0.00323208,339.576,13877.7,0.60497
