Dataset,Estado,Arista,Deg_Val,Bet_Val,Clo_Val,PR_Val,ASP_Val,Dia_Val,Eig_Val
datasets/2000.net,Original,Ninguna,0.940625,0.118003,0.181346,0.00559713,13.5845,558.699,0.703349
datasets/2000.net,Perturbado_Hub,COM-ARE,0.940625,0.118003,0.181346,0.00559971,13.5845,558.699,0.703349
datasets/2000.net,Perturbado_Periferia,TON-AUS,0.940625,0.118003,0.181346,0.00559894,13.5845,558.699,0.703349
datasets/2000.net,Perturbado_Medio,GEO-ALB,0.940625,0.118003,0.181346,0.00559736,13.5845,558.699,0.703349
datasets/2005.net,Original,Ninguna,0.9375,0.0947032,0.184835,0.00520198,10.9878,533.426,0.691095
datasets/2005.net,Perturbado_Hub,NIC-ARE,0.9375,0.0947032,0.184835,0.00520219,10.9878,533.426,0.691095
datasets/2005.net,Perturbado_Periferia,TON-AUS,0.9375,0.0947032,0.184835,0.00520365,10.9878,533.426,0.691095
datasets/2005.net,Perturbado_Medio,MAC-ALB,0.9375,0.0947032,0.184835,0.00520216,10.9878,533.426,0.691095
datasets/2010.net,Original,Ninguna,0.946875,0.104127,0.0247627,0.00503967,60.9468,4398.38,0.635302
datasets/2010.net,Perturbado_Hub,BRN-ARE,0.946875,0.104127,0.0247627,0.00504073,60.9468,4398.38,0.635302
datasets/2010.net,Perturbado_Periferia,PLW-ARE,0.946875,0.104265,0.0247058,0.00504108,61.039,4398.38,0.635302
datasets/2010.net,Perturbado_Medio,JOR-ALB,0.946875,0.104127,0.0247627,0.00503984,60.9468,4398.38,0.635302
datasets/2015.net,Original,Ninguna,0.915625,0.116922,0.0250196,0.00392154,95.7051,8900.98,0.687036
datasets/2015.net,Perturbado_Hub,BWA-AGO,0.915625,0.116922,0.0250196,0.00392165,95.7051,8900.98,0.687036
datasets/2015.net,Perturbado_Periferia,KIR-ARE,0.915625,0.116922,0.0250196,0.00392228,95.7051,8900.98,0.687036
datasets/2015.net,Perturbado_Medio,IRL-AGO,0.915625,0.116922,0.0250196,0.00392161,95.7051,8900.98,0.687036
datasets/2018.net,Original,Ninguna,0.859375,0.153616,0.366294,0.00264353,339.422,13877.7,0.60497
datasets/2018.net,Perturbado_Hub,PLW-AUS,0.859375,0.153616,0.366294,0.00264367,339.422,13877.7,0.60497
datasets/2018.net,Perturbado_Periferia,PLW-CHN,0.859375,0.152123,0.350481,0.00264367,339.544,13877.7,0.60497
datasets/2018.net,Perturbado_Medio,PRT-AGO,0.859375,0.153616,0.366294,0.00264356,339.422,13877.7,0.604971
